frios_lacteos_congelados,alimento_basico,alimento_industrializado,material_de_limpeza,perfumaria_higiene_pessoal,bebidas
13.37,96.93,116.98,26.16,35.79,5.6
5.16,61.27,107.71,20.06,70.61,10.47
5.16,33.07,96.33,31.45,24.3,25.82
14.56,23.13,131.37,65.45,44.27,33.69
13.37,96.93,116.98,26.16,35.79,5.6
14.56,23.13,131.37,65.45,44.27,33.69
14.56,23.13,131.37,65.45,44.27,33.69
14.59,43.27,57.74,20.04,16.43,9.22
11.45,43.28,92.79,42.48,23.73,15.76
9.16,57.09,59.39,25.62,31.91,8.22
18.82,87.68,115.72,50.02,23.25,20.46
9.07,61.93,65.63,13.5,18.37,9.41
18.82,87.68,115.72,50.02,23.25,20.46
1.39,39.96,121.91,24.51,22.16,13.55
13.37,96.93,116.98,26.16,35.79,5.6
10.12,20.57,80.07,31.57,39.63,17.45
18.82,87.68,115.72,50.02,23.25,20.46
10.12,20.57,80.07,31.57,39.63,17.45
5.16,33.07,96.33,31.45,24.3,25.82
5.16,33.07,96.33,31.45,24.3,25.82
18.82,87.68,115.72,50.02,23.25,20.46
6.8,1.69,49.74,34.55,11.78,7.47
5.16,33.07,96.33,31.45,24.3,25.82
5.16,61.27,107.71,20.06,70.61,10.47
9.16,57.09,59.39,25.62,31.91,8.22
14.56,23.13,131.37,65.45,44.27,33.69
5.16,33.07,96.33,31.45,24.3,25.82
13.37,96.93,116.98,26.16,35.79,5.6
1.39,39.96,121.91,24.51,22.16,13.55
14.56,23.13,131.37,65.45,44.27,33.69
12.27,11.62,58.37,20.14,0.48,12.37
13.37,96.93,116.98,26.16,35.79,5.6
5.16,61.27,107.71,20.06,70.61,10.47
18.82,87.68,115.72,50.02,23.25,20.46
13.37,96.93,116.98,26.16,35.79,5.6
6.8,1.69,49.74,34.55,11.78,7.47
18.82,87.68,115.72,50.02,23.25,20.46
9.07,61.93,65.63,13.5,18.37,9.41
9.07,61.93,65.63,13.5,18.37,9.41
13.37,96.93,116.98,26.16,35.79,5.6
12.43,31.47,41.61,10.48,20.44,13.92
13.37,96.93,116.98,26.16,35.79,5.6
18.82,87.68,115.72,50.02,23.25,20.46
14.56,23.13,131.37,65.45,44.27,33.69
12.33,16.26,73.38,24.19,21.38,3.49
18.82,87.68,115.72,50.02,23.25,20.46
14.59,43.27,57.74,20.04,16.43,9.22
12.27,11.62,58.37,20.14,0.48,12.37
1.39,39.96,121.91,24.51,22.16,13.55
5.16,61.27,107.71,20.06,70.61,10.47
14.59,43.27,57.74,20.04,16.43,9.22
2.29,38.54,22.52,11.36,2.99,10.19
12.43,31.47,41.61,10.48,20.44,13.92
5.16,61.27,107.71,20.06,70.61,10.47
10.12,20.57,80.07,31.57,39.63,17.45
1.39,39.96,121.91,24.51,22.16,13.55
9.07,61.93,65.63,13.5,18.37,9.41
13.37,96.93,116.98,26.16,35.79,5.6
10.12,20.57,80.07,31.57,39.63,17.45
1.39,39.96,121.91,24.51,22.16,13.55
12.33,16.26,73.38,24.19,21.38,3.49
4.87,7.66,50.3,17.39,15.68,6.64
13.37,96.93,116.98,26.16,35.79,5.6
10.12,20.57,80.07,31.57,39.63,17.45
5.16,61.27,107.71,20.06,70.61,10.47
12.43,31.47,41.61,10.48,20.44,13.92
5.16,61.27,107.71,20.06,70.61,10.47
18.82,87.68,115.72,50.02,23.25,20.46
18.82,87.68,115.72,50.02,23.25,20.46
2.29,3.2,23.63,1.09,7.97,11.93
5.16,61.27,107.71,20.06,70.61,10.47
5.16,61.27,107.71,20.06,70.61,10.47
10.12,20.57,80.07,31.57,39.63,17.45
16.01,41.67,150.46,23.55,57.45,20.88
5.16,33.07,96.33,31.45,24.3,25.82
18.82,87.68,115.72,50.02,23.25,20.46
9.16,57.09,59.39,25.62,31.91,8.22
4.87,7.66,50.3,17.39,15.68,6.64
14.56,23.13,131.37,65.45,44.27,33.69
11.45,43.28,92.79,42.48,23.73,15.76
5.16,61.27,107.71,20.06,70.61,10.47
12.43,31.47,41.61,10.48,20.44,13.92
14.59,43.27,57.74,20.04,16.43,9.22
5.16,61.27,107.71,20.06,70.61,10.47
